Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
388,3.48,6.965,13.68,27.057,54.566,95.581,154.698,222.567,281.215,322.904,3.491,6.962,13.678,26.979,54.575,94.804,155.706,223.524,279.97,325.044,2.403,4.741,9.569,18.412,37.268,65.368,110.855,167.462,237.013,267.091,2.419,4.78,9.529,18.348,37.185,64.931,110.265,167.355,237.288,267.238,3.484,6.989,13.934,27.221,56.917,100.171,170.26,257.448,338.797,400.513,3.497,6.998,13.854,27.39,56.401,100.143,171.798,256.951,339.795,400.498,3.377,6.733,13.399,26.247,54.714,99.515,176.295,282.277,395.965,488.941,3.371,6.711,13.36,26.263,54.695,100.24,176.621,281.696,395.017,489.507,3.691,7.433,14.806,28.95,62.241,113.819,203.137,319.978,440.564,532.313,3.702,7.376,14.734,29.186,62.28,114.361,203.821,320.171,440.403,531.212
389,3.484,6.948,13.773,26.982,54.559,95.814,155.967,222.517,280.325,324.532,3.476,6.971,13.731,27.222,55.004,95.634,154.96,223.393,281.316,325.8,2.406,4.765,9.562,18.373,37.568,65.132,110.115,167.027,237.865,269.295,2.404,4.75,9.544,18.367,37.34,65.148,110.513,167.607,239.108,268.434,3.493,7.026,13.93,27.396,56.823,100.676,170.383,258.262,340.637,398.803,3.508,6.986,13.964,27.286,56.715,101.095,170.543,258.615,339.082,402.791,3.389,6.713,13.418,26.311,55.181,100.209,175.863,282.97,398.188,492.872,3.37,6.722,13.368,26.295,55.08,100.511,176.161,280.85,397.974,490.267,3.701,7.401,14.759,28.971,62.406,114.06,203.237,319.696,438.509,532.409,3.703,7.389,14.798,29.041,61.99,114.397,204.201,321.721,440.838,529.601
390,3.47,6.973,13.65,27.236,54.843,95.925,155.85,223.513,280.776,325.453,3.482,6.973,13.703,27.216,54.858,95.944,155.886,223.7,281.723,325.694,2.415,4.769,9.569,18.528,37.472,65.195,110.65,167.637,237.773,269.946,2.425,4.789,9.556,18.487,37.353,65.657,111.063,168.042,239.877,270.026,3.512,7.045,13.93,27.448,56.974,100.338,171.587,257.414,339.482,400.226,3.516,6.981,13.928,27.301,56.654,100.337,171.734,257.762,340.801,402.343,3.398,6.732,13.425,26.487,55.061,100.323,176.353,280.877,397.035,492.654,3.401,6.734,13.429,26.532,54.87,100.478,176.688,282.832,396.485,491.609,3.713,7.411,14.846,29.129,62.308,114.834,204.704,320.811,440.559,531.017,3.708,7.437,14.791,29.008,62.04,114.394,203.57,320.251,440.409,530.772
391,3.498,6.939,13.747,27.119,54.821,95.523,155.89,224.714,283.829,324.314,3.474,6.983,13.778,27.248,54.795,95.407,155.624,223.816,281.45,327.329,2.415,4.787,9.554,18.472,37.573,65.268,111.202,168.09,239.017,269.048,2.412,4.789,9.597,18.511,37.477,65.555,110.776,167.937,239.04,268.176,3.495,7.032,13.872,27.32,56.536,100.95,171.269,258.001,340.825,404.626,3.511,7.01,13.896,27.239,56.697,100.795,170.944,257.156,341.279,403.049,3.387,6.698,13.356,26.506,55.169,100.377,176.582,281.99,397.25,491.677,3.394,6.72,13.338,26.379,55.108,99.924,176.964,283.266,397.249,496.077,3.714,7.409,14.835,28.966,62.598,114.867,203.39,321.499,438.681,534.433,3.719,7.433,14.815,28.966,62.317,114.933,203.919,320.578,441.707,533.656
392,3.486,6.986,13.716,27.075,54.921,95.73,155.504,224.918,282.982,327.173,3.504,6.958,13.746,27.133,55.17,95.662,155.83,225.176,283.693,327.085,2.411,4.818,9.565,18.548,37.68,65.937,111.62,168.22,239.753,268.739,2.423,4.817,9.545,18.512,37.433,65.898,111.086,168.112,240.709,268.87,3.521,6.984,13.91,27.392,56.749,100.802,172.099,257.984,343.85,404.252,3.521,7.051,13.959,27.435,56.623,101.252,171.474,259.244,343.807,403.157,3.381,6.695,13.443,26.568,55.23,100.638,177.064,281.634,400.151,492.515,3.405,6.736,13.401,26.407,55.148,100.505,177.199,281.93,399.075,492.712,3.698,7.4,14.831,29.176,62.254,114.105,204.774,323.069,443.708,536.934,3.72,7.422,14.721,29.157,62.237,114.252,203.907,321.455,441.08,534.925
393,3.501,6.938,13.802,27.287,54.877,95.441,156.439,224.413,283.611,328.731,3.486,6.958,13.779,27.166,55.207,96.123,156.017,225.716,283.072,327.932,2.416,4.822,9.638,18.488,37.79,66.079,111.154,169.128,239.898,271.718,2.418,4.808,9.61,18.611,37.681,66.065,111.84,168.816,239.875,271.545,3.493,7.006,13.974,27.241,56.625,101.041,171.633,258.912,343.212,404.134,3.508,7.021,13.927,27.365,56.655,100.63,171.878,258.513,341.638,404.966,3.401,6.765,13.437,26.532,55.184,100.816,177.781,284.401,398.675,497.428,3.388,6.731,13.456,26.598,55.245,100.467,177.639,282.149,398.122,497.506,3.716,7.389,14.756,28.979,62.244,114.753,203.873,322.015,443.389,533.351,3.713,7.426,14.771,29.121,62.437,114.982,204.011,323.104,444.126,536.196
394,3.488,6.946,13.723,27.093,55.157,96.171,156.1,225.456,283.388,327.061,3.491,6.942,13.737,27.272,54.769,96.278,157.312,225.306,283.187,327.6,2.433,4.828,9.603,18.573,37.864,65.716,112.034,169.406,241.352,271.335,2.434,4.801,9.618,18.615,37.66,65.596,111.942,169.066,240.468,271.784,3.511,6.996,13.869,27.295,56.714,100.908,173.006,260.095,342.291,404.916,3.494,6.989,13.996,27.507,56.937,101.676,172.967,259.127,344.055,406.428,3.38,6.708,13.433,26.502,55.197,100.91,178.059,282.995,400.253,495.209,3.409,6.741,13.444,26.506,55.429,100.746,177.387,285.413,402.682,496.06,3.712,7.382,14.791,29.238,62.657,114.559,204.79,322.8,445.261,537.88,3.71,7.38,14.855,29.253,62.514,114.139,204.748,321.98,441.786,535.569
395,3.487,6.942,13.798,27.176,54.897,96.418,156.949,224.803,285.353,328.649,3.512,6.938,13.781,27.249,55.035,96.098,156.353,224.805,286.318,329.834,2.424,4.795,9.602,18.536,37.9,66.091,112.199,170.488,240.367,271.707,2.425,4.792,9.652,18.511,37.869,66.233,112.136,170.354,241.517,272.331,3.504,7.037,13.913,27.509,57.025,101.309,173.256,261.375,346.065,404.766,3.503,7.014,13.965,27.543,56.74,101.583,172.939,259.521,345.161,408.07,3.383,6.719,13.384,26.616,55.423,100.935,177.087,283.971,400.894,499.231,3.386,6.729,13.426,26.411,55.185,100.494,177.154,285.733,402.978,495.923,3.7,7.432,14.781,29.072,62.269,114.311,203.753,323.84,442.929,540.207,3.703,7.382,14.76,29.081,62.184,114.395,204.505,324.417,442.986,540.138
396,3.485,6.954,13.703,27.332,54.84,96.174,157.326,225.289,287.176,329.241,3.514,6.958,13.783,27.268,55.074,96.23,157.49,226.013,286.671,329.868,2.431,4.819,9.619,18.694,37.903,65.897,112.267,169.893,243.232,273.693,2.449,4.81,9.628,18.693,37.747,66.098,112.495,170.414,241.96,273.604,3.51,7.028,13.939,27.368,56.9,101.725,173.709,261.742,345.934,405.325,3.506,7.048,13.875,27.411,56.823,101.599,172.249,261.578,344.761,406.993,3.396,6.732,13.491,26.505,55.228,100.714,178.622,293.719,402.092,500.552,3.404,6.729,13.44,26.664,55.532,100.904,178.079,284.596,402.485,499.214,3.697,7.387,14.733,29.091,62.562,114.497,205.603,323.14,445.94,541.323,3.723,7.378,14.718,29.123,62.211,115.024,203.876,324.707,445.877,540.878
397,3.488,6.983,13.747,27.106,55.254,96.202,157.895,227.197,286.933,332.062,3.485,6.986,13.723,27.21,55.155,96.038,156.699,226.475,286.542,329.785,2.448,4.831,9.675,18.58,37.885,66.246,112.364,169.896,242.766,273.564,2.442,4.838,9.67,18.709,38.047,66.521,112.146,171.025,242.795,271.856,3.506,7.068,13.892,27.556,57.141,101.676,172.333,260.401,346.078,406.736,3.533,7.065,13.937,27.415,56.961,101.161,173.94,260.325,345.535,410.124,3.416,6.758,13.433,26.536,55.063,101.341,179.229,285.13,401.922,501.263,3.403,6.725,13.486,26.649,55.18,101.178,177.88,284.542,402.82,497.935,3.726,7.422,14.852,29.159,62.514,114.671,204.597,324.056,447.577,542.476,3.715,7.441,14.736,29.044,62.777,114.98,205.085,325.422,445.274,538.815
398,3.492,6.985,13.766,27.27,55.036,96.791,156.991,226.601,288.225,331.903,3.5,6.972,13.834,27.291,55.197,96.201,158.268,227.949,287.522,330.932,2.438,4.837,9.644,18.605,38.044,66.085,112.548,171.513,243.172,272.502,2.44,4.856,9.641,18.642,37.837,65.987,112.708,170.293,244.049,273.103,3.531,7.014,13.926,27.571,57.33,101.303,173.752,262.369,345.879,410.955,3.522,7.004,13.891,27.436,57.244,101.379,172.628,260.337,347.426,409.066,3.412,6.785,13.445,26.445,55.645,101.006,178.796,275.779,402.381,499.697,3.405,6.781,13.457,26.507,55.533,100.918,179.454,285.705,403.523,501.678,3.728,7.438,14.769,29.138,62.262,114.745,205.594,325.939,444.513,543.922,3.7,7.389,14.815,29.278,62.574,115.269,205.621,325.068,448.245,540.101
399,3.511,6.988,13.852,27.209,55.509,96.838,157.474,228.336,287.742,331.75,3.491,6.968,13.85,27.286,54.968,96.035,157.904,226.661,287.551,333.402,2.447,4.862,9.674,18.785,37.796,66.42,112.838,170.893,244.835,275.536,2.437,4.84,9.709,18.656,37.88,66.327,112.378,170.882,242.556,273.208,3.527,7.058,14.022,27.518,57.092,101.516,173.566,261.894,347.811,409.222,3.525,7.036,13.976,27.537,56.935,101.396,173.509,262.637,346.769,411.086,3.412,6.792,13.407,26.661,55.404,101.317,178.456,276.01,404.586,504.903,3.404,6.732,13.424,26.574,55.364,100.738,178.663,284.967,403.025,500.776,3.704,7.396,14.734,29.134,62.651,114.627,206.138,324.439,445.318,545.053,3.723,7.382,14.856,29.088,62.644,115.283,204.473,323.724,446.504,541.086
400,3.49,7.01,13.793,27.386,55.146,96.873,158.009,227.585,288.221,332.058,3.515,6.977,13.831,27.31,55.037,96.375,158.583,228.782,288.431,331.36,2.454,4.852,9.714,18.83,38.16,66.45,113.136,171.482,243.54,274.741,2.447,4.834,9.675,18.683,38.063,66.43,112.543,171.782,244.264,275.961,3.507,7.011,13.97,27.446,57.1,102.179,174.094,261.157,348.584,411.325,3.527,7.037,13.908,27.622,57.199,101.3,174.477,263.644,348.007,412.401,3.423,6.749,13.466,26.677,55.582,100.855,178.552,287.067,405.344,502.175,3.42,6.78,13.504,26.724,55.435,101.216,179.689,286.822,405.253,501.09,3.73,7.406,14.736,29.189,62.385,114.859,204.751,326.963,446.444,545.211,3.719,7.412,14.813,29.225,62.52,115.003,205.96,325.936,447.441,543.273
401,3.505,6.968,13.869,27.421,55.06,96.848,157.531,227.753,287.737,334.31,3.502,6.996,13.803,27.186,55.271,96.627,157.537,228.193,288.42,334.433,2.466,4.833,9.76,18.78,38.224,66.915,113.467,171.626,244.35,276.871,2.452,4.851,9.737,18.681,38.263,66.559,112.975,172.438,245.496,275.788,3.516,7.072,13.966,27.576,57.259,102.169,174.813,262.726,347.528,411.287,3.541,7.013,13.973,27.436,57.086,102.057,174.657,262.316,348.867,411.91,3.42,6.792,13.496,26.698,55.274,101.061,179.459,287.734,407.514,505.409,3.414,6.763,13.45,26.699,55.743,101.533,179.202,288.144,406.248,502.901,3.725,7.428,14.739,29.051,62.774,115.391,204.908,325.943,447.604,544.153,3.707,7.397,14.792,29.093,62.41,114.635,206.556,326.567,447.127,542.96
402,3.501,6.989,13.757,27.246,55.176,97.029,158.47,228.46,290.766,334.909,3.516,6.958,13.829,27.413,55.187,97.174,159.122,228.267,290.681,334.857,2.446,4.856,9.695,18.889,38.003,66.752,113.533,171.657,246.312,276.339,2.459,4.844,9.754,18.849,38.212,66.944,112.927,171.445,245.848,275.355,3.524,7.078,13.918,27.41,57.443,101.696,174.258,263.284,350.047,411.29,3.513,7.065,13.944,27.548,57.547,102.291,173.813,264.509,348.047,412.157,3.412,6.758,13.529,26.643,55.451,101.266,178.676,286.912,406.192,506.597,3.404,6.805,13.535,26.518,55.551,101.156,178.956,287.368,406.865,504.156,3.711,7.431,14.81,29.292,62.585,114.618,205.336,325.445,450.08,547.153,3.729,7.412,14.797,29.067,62.745,114.965,206.857,325.734,450.74,546.106
403,3.496,7.004,13.792,27.353,55.349,96.994,159.005,228.748,289.168,336.016,3.517,7.016,13.848,27.41,55.352,96.438,158.583,228.441,288.632,335.906,2.467,4.877,9.721,18.754,38.077,66.789,113.774,172.48,245.257,276.708,2.457,4.888,9.702,18.758,38.161,66.696,113.543,173.246,245.376,276.928,3.538,7.021,14.026,27.447,57.167,101.596,174.448,264.612,348.886,412.638,3.519,7.045,14.019,27.661,57.502,102.219,174.071,262.808,351.44,413.125,3.432,6.809,13.488,26.684,55.447,101.09,179.763,297.391,407.32,508.693,3.408,6.797,13.457,26.745,55.645,101.854,179.601,287.63,408.647,508.111,3.709,7.388,14.82,29.324,62.335,115.58,205.272,326.242,449.563,545.855,3.698,7.444,14.758,29.218,62.585,115.486,207.18,326.074,451.448,544.498
404,3.518,6.965,13.766,27.312,55.379,96.76,158.687,229.713,289.259,336.638,3.524,6.966,13.877,27.455,55.563,97.016,158.837,230.448,291.284,334.648,2.476,4.882,9.771,18.928,38.408,66.748,113.349,173.137,245.695,277.624,2.473,4.853,9.722,18.84,38.325,67.063,114.034,172.512,246.144,278.659,3.515,7.066,14.027,27.6,57.25,102.239,174.403,263.485,350.134,416.143,3.529,7.034,13.935,27.451,57.174,102.38,174.822,264.777,352.651,414.878,3.424,6.768,13.552,26.624,55.694,101.871,180.754,288.701,406.95,505.661,3.422,6.777,13.513,26.776,55.761,101.994,180.356,287.402,406.921,506.314,3.724,7.456,14.74,29.19,62.335,114.866,206.498,328.114,450.804,550.316,3.713,7.439,14.79,29.141,62.327,115.657,206.339,328.594,452.374,547.577
405,3.505,7.024,13.77,27.486,55.365,97.327,159.862,230.706,290.743,336.949,3.528,7.018,13.843,27.37,55.428,97.131,159.834,230.251,290.694,336.254,2.477,4.896,9.806,18.87,38.155,67.202,114.359,173.327,247.289,279.179,2.471,4.867,9.802,18.838,38.271,66.841,113.81,173.692,247.472,279.01,3.522,7.051,14.011,27.517,57.672,102.526,175.451,264.826,351.584,417.52,3.523,7.091,13.981,27.517,57.492,102.315,175.701,264.229,351.878,416.994,3.413,6.78,13.556,26.76,55.628,101.951,179.699,299.411,407.852,510.51,3.432,6.758,13.49,26.592,55.608,101.273,179.332,288.986,408.239,508.173,3.71,7.429,14.785,29.124,62.767,115.311,205.879,327.164,453.311,546.738,3.718,7.391,14.858,29.199,62.428,115.869,207.263,327.603,450.631,549.198
406,3.504,7.338,13.847,27.326,55.538,96.784,159.925,229.321,291.022,338.682,3.508,7.035,13.819,27.33,55.35,96.724,159.077,230.377,293.104,338.526,2.483,4.912,9.824,18.867,38.571,66.933,114.224,173.584,247.737,279.206,2.47,4.887,9.756,18.845,38.223,66.921,113.729,172.906,247.935,278.62,3.537,7.044,14.031,27.669,57.429,101.934,175.109,265.483,351.212,417.097,3.52,7.064,14.061,27.482,57.375,102.798,175.118,264.663,351.281,415.169,3.423,6.805,13.47,26.681,55.511,102.139,179.918,290.566,409.195,508.13,3.41,6.759,13.555,26.594,55.522,101.491,179.816,288.897,411.571,511.142,3.701,7.424,14.809,29.298,62.423,115.414,207.698,326.549,455.373,552.196,3.699,7.449,14.772,29.114,62.922,115.441,207.447,329.014,451.541,551.763
407,3.497,6.975,13.823,27.26,55.779,97.014,159.797,231.086,292.403,339.717,3.507,6.977,13.883,27.471,55.55,97.118,159.644,231.183,291.896,338.746,2.463,4.892,9.759,18.909,38.377,67.47,114.266,174.254,247.296,279.802,2.479,4.897,9.789,18.99,38.38,67,114.709,174.356,248.541,279.696,3.548,7.094,14.006,27.479,57.697,102.874,175.88,266.515,353.987,415.376,3.531,7.032,14.072,27.492,57.478,102.807,175.528,264.637,352.437,419.106,3.412,6.821,13.511,26.654,55.976,102.002,180.363,270.43,409.344,509.802,3.429,6.824,13.482,26.834,55.722,101.686,180.523,288.624,410.288,512.184,3.699,7.436,14.795,29.125,62.454,115.843,206.849,328.932,452.463,550.604,3.725,7.432,14.861,29.161,62.542,115.545,207.745,327.017,452.542,549.088
408,3.531,7.038,13.827,27.429,55.394,97.049,160.108,229.989,293.679,339.303,3.515,6.999,13.911,27.517,55.907,97.617,159.389,230.858,294.488,338.851,2.467,4.888,9.805,19.021,38.603,67.418,114.586,174.811,248.659,279.412,2.481,4.921,9.819,18.952,38.481,67.165,114.077,174.272,249.503,281.538,3.551,7.052,14.013,27.659,57.417,102.977,175.645,266.735,355.342,416.835,3.523,7.067,14.083,27.613,57.503,102.552,175.756,266.146,353.078,419.689,3.427,6.814,13.582,26.75,55.731,102.117,181.292,271.698,412.009,511.437,3.434,6.819,13.527,26.762,56.043,102.066,181.327,291.074,411.556,513.629,3.723,7.439,14.87,29.269,62.504,115.862,208.009,328.084,456.268,554.834,3.71,7.457,14.823,29.374,62.847,115.452,206.685,328.553,456.148,552.968
409,3.502,7.037,13.922,27.431,55.54,97.375,160.223,230.631,293.326,338.12,3.508,6.984,13.893,27.408,55.447,97.92,160.578,232.002,293.623,338.953,2.48,4.916,9.815,19.002,38.463,67.696,115.015,175.267,247.937,280.277,2.471,4.928,9.85,18.995,38.635,67.337,114.383,173.836,248.507,281.789,3.55,7.047,14.027,27.595,57.485,102.652,175.9,267.352,353.748,420.243,3.519,7.047,13.99,27.642,57.63,102.739,175.815,266.226,355.974,417.505,3.412,6.784,13.586,26.703,55.796,102.243,180.357,291.131,413.598,512.704,3.42,6.817,13.562,26.736,55.9,102.153,181.18,291.025,414.258,514.85,3.725,7.401,14.826,29.179,62.84,115.607,207.222,327.917,454.774,556.661,3.732,7.409,14.811,29.242,62.547,115.869,208.028,329.517,454.309,556.305
410,3.527,7,13.914,27.341,55.688,97.526,160.574,232.236,294.774,340.579,3.509,7.016,13.892,27.37,55.92,97.834,160.256,230.877,292.905,341.194,2.491,4.894,9.799,19.009,38.657,67.627,114.715,174.262,250.145,280.995,2.487,4.94,9.879,18.944,38.706,67.436,114.929,175.508,249.565,280.189,3.544,7.094,14.067,27.739,57.846,102.472,175.454,265.958,353.749,421.27,3.55,7.089,14.012,27.607,57.74,102.527,176.415,266.067,355.353,421.16,3.443,6.79,13.595,26.785,56.118,101.954,181.177,290.92,412.72,514.558,3.417,6.782,13.541,26.666,56.099,102.07,181.732,291.516,413.748,514.309,3.708,7.426,14.868,29.114,62.569,115.696,207.495,329.526,456.239,554.313,3.735,7.428,14.812,29.171,62.814,115.713,208.115,331.436,455.787,555.473
411,3.531,6.989,13.939,27.443,55.637,97.827,160.395,231.609,295.734,340.866,3.52,7.01,13.823,27.434,55.859,97.292,161.108,231.292,295.915,340.135,2.49,4.926,9.805,19.088,38.763,67.922,115.12,175.395,249.188,282.478,2.482,4.931,9.838,19.117,38.556,67.785,114.846,175.744,249.65,281.006,3.522,7.075,14.012,27.761,57.683,102.773,175.572,267.385,354.266,420.654,3.533,7.096,14.038,27.732,57.63,102.538,175.825,265.919,355.616,421.927,3.422,6.836,13.575,26.897,55.85,102.656,181.646,302.776,413.972,514.46,3.435,6.84,13.6,26.837,55.94,102.588,182.384,292.055,412.179,515.033,3.724,7.4,14.866,29.328,63.05,115.885,208.673,331.377,455.748,556.021,3.731,7.43,14.793,29.173,62.997,115.736,207.901,330.343,456.475,554.417
412,3.519,7.02,13.895,27.334,56.008,98.233,160.052,232.162,296.209,343.47,3.526,7.024,13.925,27.434,55.633,97.895,160.417,232.317,296.27,342.346,2.486,4.943,9.892,19.089,38.626,67.82,115.319,174.85,251.254,281.449,2.482,4.907,9.826,19.058,38.776,67.697,115.699,175.908,249.544,283.298,3.549,7.092,14.084,27.564,57.579,102.729,176.669,266.99,356.906,421.217,3.545,7.086,13.998,27.67,57.619,103.156,176.924,267.171,356.997,422.924,3.421,6.829,13.541,26.783,56.191,102.698,182.499,302.092,413.1,515.843,3.443,6.842,13.557,26.794,55.958,102.739,181.296,290.773,414.606,515.881,3.705,7.449,14.768,29.348,62.96,116.266,207.725,331.383,455.931,557.607,3.706,7.463,14.82,29.354,62.562,115.919,207.919,330.25,460.194,557.457
413,3.52,7.051,13.836,27.437,55.992,98.228,160.237,232.651,296.114,341.383,3.511,7.047,13.838,27.362,56.081,98.179,161.257,233.346,295.632,341.28,2.506,4.922,9.922,19.055,38.736,68.201,115.702,176.377,251.182,282.28,2.493,4.924,9.918,19.18,38.764,67.692,114.929,175.591,250.422,282.262,3.535,7.104,14.009,27.559,57.81,102.874,177.124,268.792,356.356,422.121,3.557,7.071,14.117,27.612,57.494,102.999,176.375,267.57,357.23,423.758,3.428,6.795,13.519,26.961,55.866,102.084,181.672,302.732,414.664,516.532,3.422,6.802,13.527,26.86,56.161,102.059,181.989,291.384,417.3,518.187,3.727,7.458,14.812,29.41,62.595,115.311,207.634,329.941,458.797,558.205,3.727,7.404,14.826,29.295,62.885,115.596,208.176,330.396,458.602,557.69
414,3.537,7.026,13.873,27.54,55.903,97.627,160.789,232.768,297.88,342.389,3.535,7.001,13.962,27.503,55.753,97.644,161.023,234.362,297.302,341.994,2.508,4.96,9.898,19.06,38.772,68.069,115.141,175.462,252.301,283.968,2.496,4.944,9.878,19.094,38.881,67.885,115.677,176.386,251.294,285.039,3.529,7.098,14.102,27.636,57.604,103.615,176.223,269.307,358.682,425.29,3.546,7.055,14.129,27.794,57.776,103.378,176.414,269.661,358.872,425.711,3.44,6.841,13.645,26.863,56.013,102.371,182.378,293.94,414.979,516.964,3.439,6.834,13.635,26.915,56.153,102.832,181.311,293.125,416.083,517.735,3.718,7.417,14.838,29.374,62.808,115.581,208.825,332.36,460.06,561.422,3.726,7.451,14.861,29.27,62.961,115.703,208.038,333.018,458.605,557.317
415,3.541,7.009,13.92,27.413,56.059,98.378,160.979,233.922,297.567,342.6,3.521,7.051,13.917,27.633,56.157,97.963,161.152,233.032,298.663,345.693,2.495,4.964,9.887,19.218,38.733,68.288,115.513,177.105,252.192,285.798,2.5,4.945,9.915,19.126,39.043,67.937,116.235,177.015,251.496,283.377,3.539,7.086,14.092,27.616,57.812,102.722,176.634,269.303,358.993,424.315,3.549,7.096,14.027,27.661,57.632,103.037,177.521,268.546,358.054,422.836,3.447,6.848,13.586,26.981,56.097,102.23,182.143,273.409,416.695,517.538,3.425,6.818,13.647,26.946,56.247,102.597,181.847,292.349,417.048,521.164,3.707,7.449,14.824,29.144,63.073,115.623,208.9,331.207,458.673,561.189,3.709,7.428,14.797,29.284,62.686,116.458,207.779,332.612,461.543,562.214
416,3.545,7.01,13.901,27.501,55.836,98.528,162.385,234.512,297.317,345.713,3.515,7.021,13.91,27.46,56.13,98.278,160.877,234.104,297.009,346.14,2.503,4.956,9.899,19.094,38.819,68.044,115.631,176.688,253.56,284.104,2.501,4.977,9.931,19.214,39.116,68.215,115.545,176.933,253.371,285.139,3.539,7.069,14.143,27.857,57.583,103.568,177.758,268.365,357.707,425.714,3.56,7.102,14.111,27.795,57.681,103.583,177.131,269.236,359.82,425.035,3.452,6.816,13.585,26.93,56.202,102.999,182.124,273.67,416.59,521.659,3.445,6.842,13.585,26.841,55.978,102.357,182.773,292.526,419.031,518.437,3.704,7.397,14.781,29.339,62.54,115.574,208.38,332.243,462.802,560.745,3.707,7.439,14.768,29.2,62.769,116.149,208.429,331.939,462.626,561.46
417,3.538,7.066,13.934,27.448,56.284,98.131,161.286,234.826,299.485,346.268,3.52,7.061,13.965,27.434,56.218,97.822,162.02,235.219,298.457,344.169,2.499,4.978,9.882,19.113,39.201,68.576,115.785,176.663,252.71,284.628,2.509,4.954,9.93,19.264,39.212,68.087,116.001,176.804,253.813,285.969,3.54,7.076,14.138,27.695,57.877,103.426,177.98,270.894,361.071,425.977,3.549,7.089,14.079,27.646,57.958,103.004,178.099,269.637,358.679,425.661,3.451,6.806,13.557,27.025,56.177,103.306,182.901,275.212,417.262,519.768,3.459,6.837,13.668,26.95,56.46,103.259,182.569,295.702,418.049,519.536,3.712,7.402,14.858,29.336,62.685,115.779,209.68,331.876,463.649,560.622,3.718,7.454,14.88,29.345,63.019,116.508,208.987,332.461,462.923,563.788
418,3.53,7.057,13.954,27.581,56.037,98.567,161.581,234.922,298.06,345.517,3.521,7.068,13.896,27.548,56.181,98.156,162.557,234.755,298.899,346.514,2.512,4.972,9.981,19.174,39.091,68.735,116.997,178.064,252.831,286.767,2.504,4.988,9.951,19.243,38.964,68.445,116.016,178.263,253.686,287.171,3.541,7.07,14.096,27.632,57.638,103.196,178.499,270.733,361.401,428.618,3.542,7.095,14.084,27.764,58.006,103.4,178.006,271.103,361.284,425.717,3.449,6.829,13.556,26.816,56.444,103.087,182.964,295.304,418.427,521.019,3.44,6.837,13.554,26.983,56.249,102.624,182.361,295.007,421.155,523.302,3.722,7.434,14.773,29.286,62.751,116.207,209.019,335.001,464.069,566.027,3.733,7.421,14.773,29.296,63.112,116.534,209.15,332.656,462.139,563.549
419,3.519,7.034,13.921,27.647,55.965,98.395,162.085,235.77,300.654,346.907,3.539,7.018,13.87,27.459,56.222,98.823,161.823,235.275,299.818,348.516,2.519,4.981,10,19.242,39.284,68.898,116.175,177.294,253.096,286.753,2.519,4.982,9.992,19.163,39.117,68.937,116.736,177.794,253.253,286.886,3.557,7.102,14.143,27.878,57.96,103.446,178.496,271.588,361.487,426.778,3.555,7.068,14.03,27.768,57.811,103.907,177.765,271.397,360.419,428.659,3.449,6.811,13.638,27.025,56.378,102.75,183.465,305.746,421.032,525.87,3.454,6.869,13.686,27.019,56.308,103.346,183.372,294.608,419.538,522.362,3.716,7.434,14.88,29.358,63.107,116.662,210.128,333.168,463.634,564.813,3.711,7.456,14.871,29.381,62.671,116.698,209.759,332.684,465.642,563.403
420,3.544,7.036,13.93,27.54,55.946,98.911,162.458,236.681,301.527,347.982,3.532,7.035,13.961,27.638,56.154,98.777,162.061,235.024,301.539,348.265,2.51,4.971,9.991,19.223,39.035,68.581,116.951,178.339,255.88,287.215,2.511,4.967,9.943,19.196,39.367,68.619,117.237,179.046,254.434,287.149,3.561,7.095,14.088,27.801,58.194,103.622,178.631,269.891,362.768,428.091,3.568,7.105,14.062,27.834,58.12,103.185,177.953,271.929,362.949,428.254,3.462,6.87,13.661,26.863,56.357,103.096,183.378,295.604,421.671,526.401,3.445,6.852,13.626,26.842,56.456,103.514,183.542,294.234,421.304,527.164,3.707,7.461,14.886,29.33,63.158,116.121,210.246,334.717,465.477,564.062,3.721,7.435,14.876,29.31,63.071,115.799,210.107,335.065,463.44,564.631
421,3.536,7.086,13.914,27.539,56.42,98.766,163.458,236.398,302.064,348.642,3.526,7.065,13.98,27.505,56.309,98.827,163.382,235.687,301.844,348.274,2.527,5.005,9.993,19.314,39.164,69.043,116.686,177.956,254.283,287.175,2.532,4.977,9.98,19.243,39.297,68.885,116.858,178.484,256.302,287.674,3.539,7.096,14.072,27.784,57.854,103.841,178.743,272.787,363.643,428.005,3.559,7.126,14.041,27.853,58.123,103.466,179.184,272.275,361.826,428.616,3.461,6.826,13.661,26.857,56.591,103.358,182.833,274.868,420.904,525.996,3.457,6.856,13.62,26.9,56.58,103.303,183.829,295.108,422.941,525.053,3.722,7.409,14.896,29.377,62.851,116.445,209.239,334.213,466.758,566.591,3.709,7.443,14.844,29.208,63.2,116.809,209.023,333.417,467.385,566.071
