"NovelEnzymes, Inc",,,,,,,,,,
Reference Data (Clean),,,,,,,,,,
Enzyme: PGO-X50,,,,,,,,,,
,,,,,,,,,,
Assay number (test),1,2,3,4,5,6,7,8,9,10
326,3.491,6.982,13.93,26.938,55.808,101.294,175.167,278.68,366.44,459.13
327,3.493,6.986,13.939,26.959,55.862,101.415,175.443,279.233,367.326,460.362
328,3.495,6.991,13.947,26.98,55.917,101.535,175.719,279.784,368.211,461.593
329,3.497,6.995,13.956,27.001,55.971,101.654,175.993,280.334,369.095,462.824
330,3.499,6.999,13.964,27.022,56.025,101.773,176.266,280.883,369.978,464.053
331,3.502,7.003,13.973,27.043,56.079,101.891,176.539,281.43,370.859,465.281
332,3.504,7.007,13.981,27.064,56.133,102.009,176.81,281.975,371.739,466.508
333,3.506,7.011,13.989,27.084,56.186,102.126,177.08,282.52,372.618,467.735
334,3.508,7.015,13.997,27.104,56.238,102.242,177.349,283.063,373.496,468.96
335,3.51,7.019,14.005,27.125,56.291,102.358,177.618,283.604,374.372,470.184
336,3.512,7.023,14.013,27.145,56.343,102.473,177.885,284.145,375.248,471.408
337,3.513,7.027,14.021,27.165,56.395,102.588,178.151,284.684,376.122,472.63
338,3.515,7.031,14.029,27.184,56.446,102.702,178.417,285.221,376.995,473.852
339,3.517,7.035,14.037,27.204,56.497,102.815,178.681,285.758,377.866,475.072
340,3.519,7.038,14.045,27.223,56.548,102.928,178.945,286.293,378.737,476.291
341,3.521,7.042,14.053,27.243,56.599,103.04,179.207,286.826,379.606,477.51
342,3.523,7.046,14.06,27.262,56.649,103.152,179.468,287.358,380.474,478.727
343,3.525,7.05,14.068,27.281,56.699,103.263,179.729,287.889,381.34,479.944
344,3.527,7.053,14.075,27.3,56.749,103.374,179.988,288.419,382.206,481.16
345,3.528,7.057,14.083,27.319,56.798,103.484,180.247,288.947,383.07,482.374
346,3.53,7.061,14.09,27.338,56.847,103.593,180.505,289.474,383.933,483.588
347,3.532,7.064,14.098,27.356,56.896,103.702,180.761,290,384.795,484.8
348,3.534,7.068,14.105,27.375,56.944,103.81,181.017,290.524,385.656,486.012
349,3.536,7.071,14.112,27.393,56.992,103.918,181.272,291.047,386.515,487.223
350,3.537,7.075,14.119,27.411,57.04,104.025,181.526,291.569,387.374,488.433
351,3.539,7.078,14.126,27.429,57.088,104.132,181.778,292.089,388.231,489.641
352,3.541,7.082,14.133,27.447,57.135,104.238,182.03,292.609,389.087,490.849
353,3.543,7.085,14.14,27.465,57.182,104.344,182.281,293.126,389.941,492.056
354,3.544,7.088,14.147,27.483,57.229,104.449,182.531,293.643,390.795,493.262
355,3.546,7.092,14.154,27.5,57.276,104.553,182.781,294.158,391.647,494.467
356,3.548,7.095,14.161,27.518,57.322,104.657,183.029,294.672,392.498,495.671
357,3.549,7.098,14.168,27.535,57.368,104.761,183.276,295.185,393.348,496.874
358,3.551,7.102,14.174,27.552,57.413,104.864,183.523,295.696,394.197,498.076
359,3.553,7.105,14.181,27.569,57.459,104.966,183.768,296.206,395.044,499.277
360,3.554,7.108,14.188,27.586,57.504,105.068,184.013,296.715,395.891,500.477
361,3.556,7.111,14.194,27.603,57.549,105.17,184.256,297.223,396.736,501.676
362,3.557,7.115,14.201,27.62,57.593,105.271,184.499,297.729,397.58,502.874
363,3.559,7.118,14.207,27.636,57.638,105.371,184.741,298.234,398.423,504.071
364,3.56,7.121,14.214,27.653,57.682,105.471,184.982,298.738,399.264,505.268
365,3.562,7.124,14.22,27.669,57.725,105.57,185.222,299.24,400.105,506.463
366,3.564,7.127,14.226,27.685,57.769,105.669,185.462,299.742,400.944,507.657
367,3.565,7.13,14.233,27.702,57.812,105.767,185.7,300.242,401.782,508.851
368,3.567,7.133,14.239,27.718,57.855,105.865,185.937,300.74,402.619,510.043
369,3.568,7.136,14.245,27.734,57.898,105.962,186.174,301.238,403.455,511.235
370,3.57,7.139,14.251,27.749,57.94,106.059,186.41,301.734,404.289,512.425
371,3.571,7.142,14.257,27.765,57.983,106.156,186.645,302.229,405.123,513.615
372,3.572,7.145,14.263,27.781,58.025,106.252,186.879,302.723,405.955,514.803
373,3.574,7.148,14.269,27.796,58.066,106.347,187.112,303.216,406.786,515.991
374,3.575,7.151,14.275,27.812,58.108,106.442,187.344,303.707,407.616,517.178
375,3.577,7.154,14.281,27.827,58.149,106.536,187.575,304.197,408.445,518.364
376,3.578,7.156,14.286,27.842,58.19,106.63,187.806,304.686,409.272,519.548
377,3.58,7.159,14.292,27.857,58.231,106.724,188.036,305.174,410.099,520.732
378,3.581,7.162,14.298,27.872,58.271,106.817,188.264,305.66,410.924,521.915
379,3.582,7.165,14.304,27.887,58.312,106.909,188.492,306.145,411.748,523.097
380,3.584,7.167,14.309,27.902,58.352,107.001,188.72,306.629,412.571,524.278
381,3.585,7.17,14.315,27.916,58.391,107.093,188.946,307.112,413.393,525.458
382,3.586,7.173,14.32,27.931,58.431,107.184,189.171,307.594,414.214,526.638
383,3.588,7.176,14.326,27.945,58.47,107.274,189.396,308.074,415.033,527.816
384,3.589,7.178,14.331,27.959,58.509,107.365,189.62,308.554,415.851,528.993
385,3.59,7.181,14.337,27.974,58.548,107.454,189.843,309.032,416.669,530.169
386,3.592,7.183,14.342,27.988,58.587,107.543,190.065,309.508,417.485,531.345
387,3.593,7.186,14.347,28.002,58.625,107.632,190.286,309.984,418.3,532.519
388,3.594,7.189,14.353,28.016,58.663,107.721,190.507,310.458,419.114,533.693
389,3.596,7.191,14.358,28.03,58.701,107.809,190.727,310.932,419.926,534.865
390,3.597,7.194,14.363,28.043,58.739,107.896,190.945,311.404,420.738,536.037
391,3.598,7.196,14.368,28.057,58.776,107.983,191.164,311.875,421.548,537.208
392,3.599,7.199,14.373,28.071,58.813,108.07,191.381,312.344,422.357,538.377
393,3.601,7.201,14.378,28.084,58.85,108.156,191.597,312.813,423.166,539.546
394,3.602,7.204,14.383,28.097,58.887,108.241,191.813,313.28,423.973,540.714
395,3.603,7.206,14.388,28.111,58.924,108.327,192.028,313.747,424.778,541.881
396,3.604,7.208,14.393,28.124,58.96,108.411,192.242,314.212,425.583,543.047
397,3.605,7.211,14.398,28.137,58.996,108.496,192.455,314.676,426.387,544.212
398,3.607,7.213,14.403,28.15,59.032,108.58,192.668,315.138,427.189,545.376
399,3.608,7.215,14.408,28.163,59.068,108.663,192.88,315.6,427.991,546.54
400,3.609,7.218,14.413,28.176,59.103,108.746,193.091,316.06,428.791,547.702
401,3.61,7.22,14.417,28.188,59.139,108.829,193.301,316.52,429.59,548.863
402,3.611,7.222,14.422,28.201,59.174,108.911,193.51,316.978,430.388,550.024
403,3.612,7.225,14.427,28.214,59.209,108.993,193.719,317.435,431.185,551.183
404,3.613,7.227,14.431,28.226,59.243,109.075,193.927,317.891,431.981,552.342
405,3.615,7.229,14.436,28.238,59.278,109.156,194.134,318.345,432.775,553.5
406,3.616,7.231,14.44,28.251,59.312,109.236,194.34,318.799,433.569,554.656
407,3.617,7.234,14.445,28.263,59.346,109.316,194.546,319.251,434.361,555.812
408,3.618,7.236,14.449,28.275,59.38,109.396,194.75,319.703,435.153,556.967
409,3.619,7.238,14.454,28.287,59.413,109.476,194.954,320.153,435.943,558.121
410,3.62,7.24,14.458,28.299,59.447,109.555,195.158,320.602,436.732,559.274
411,3.621,7.242,14.463,28.311,59.48,109.633,195.36,321.05,437.52,560.426
412,3.622,7.244,14.467,28.323,59.513,109.711,195.562,321.497,438.307,561.577
413,3.623,7.246,14.471,28.334,59.546,109.789,195.763,321.942,439.093,562.728
414,3.624,7.248,14.476,28.346,59.578,109.866,195.963,322.387,439.878,563.877
415,3.625,7.25,14.48,28.358,59.611,109.943,196.163,322.83,440.661,565.025
416,3.626,7.252,14.484,28.369,59.643,110.02,196.362,323.273,441.444,566.173
417,3.627,7.255,14.488,28.38,59.675,110.096,196.56,323.714,442.225,567.319
418,3.628,7.257,14.492,28.392,59.707,110.172,196.757,324.154,443.006,568.465
419,3.629,7.259,14.496,28.403,59.739,110.247,196.954,324.593,443.785,569.61
420,3.63,7.26,14.5,28.414,59.77,110.323,197.15,325.031,444.563,570.754
421,3.631,7.262,14.504,28.425,59.801,110.397,197.345,325.468,445.34,571.897
422,3.632,7.264,14.508,28.436,59.833,110.471,197.539,325.904,446.116,573.039
423,3.633,7.266,14.512,28.447,59.863,110.545,197.733,326.338,446.891,574.18
424,3.634,7.268,14.516,28.458,59.894,110.619,197.926,326.772,447.665,575.32
425,3.635,7.27,14.52,28.469,59.925,110.692,198.119,327.205,448.437,576.459
426,3.636,7.272,14.524,28.479,59.955,110.765,198.31,327.636,449.209,577.598
427,3.637,7.274,14.528,28.49,59.985,110.837,198.501,328.066,449.98,578.735
428,3.638,7.276,14.532,28.5,60.015,110.909,198.691,328.496,450.749,579.872
429,3.639,7.278,14.536,28.511,60.045,110.981,198.881,328.924,451.518,581.007
430,3.64,7.279,14.539,28.521,60.075,111.052,199.07,329.351,452.285,582.142
431,3.641,7.281,14.543,28.532,60.104,111.123,199.258,329.777,453.051,583.276
432,3.641,7.283,14.547,28.542,60.133,111.194,199.445,330.202,453.816,584.409
433,3.642,7.285,14.55,28.552,60.163,111.264,199.632,330.626,454.58,585.541
434,3.643,7.286,14.554,28.562,60.191,111.334,199.818,331.049,455.344,586.672
435,3.644,7.288,14.558,28.572,60.22,111.403,200.003,331.471,456.106,587.802
436,3.645,7.29,14.561,28.582,60.249,111.473,200.188,331.892,456.866,588.932
437,3.646,7.292,14.565,28.592,60.277,111.541,200.372,332.311,457.626,590.06
438,3.647,7.293,14.568,28.602,60.306,111.61,200.555,332.73,458.385,591.187
439,3.648,7.295,14.572,28.612,60.334,111.678,200.738,333.148,459.143,592.314
440,3.648,7.297,14.575,28.621,60.362,111.746,200.92,333.564,459.899,593.44
441,3.649,7.298,14.579,28.631,60.389,111.813,201.101,333.98,460.655,594.565
442,3.65,7.3,14.582,28.64,60.417,111.88,201.281,334.395,461.41,595.688
443,3.651,7.302,14.585,28.65,60.444,111.947,201.461,334.808,462.163,596.811
444,3.652,7.303,14.589,28.659,60.472,112.013,201.641,335.221,462.916,597.934
445,3.652,7.305,14.592,28.669,60.499,112.08,201.819,335.632,463.667,599.055
446,3.653,7.306,14.595,28.678,60.526,112.145,201.997,336.042,464.417,600.175
447,3.654,7.308,14.599,28.687,60.552,112.211,202.174,336.452,465.167,601.294
448,3.655,7.31,14.602,28.696,60.579,112.276,202.351,336.86,465.915,602.413
449,3.656,7.311,14.605,28.705,60.605,112.34,202.527,337.267,466.662,603.531
450,3.656,7.313,14.608,28.714,60.632,112.405,202.702,337.674,467.408,604.647
451,3.657,7.314,14.611,28.723,60.658,112.469,202.877,338.079,468.153,605.763
452,3.658,7.316,14.614,28.732,60.684,112.533,203.051,338.483,468.897,606.878
453,3.659,7.317,14.618,28.741,60.71,112.596,203.224,338.887,469.64,607.992
454,3.659,7.319,14.621,28.75,60.735,112.659,203.397,339.289,470.382,609.105
455,3.66,7.32,14.624,28.759,60.761,112.722,203.569,339.69,471.123,610.218
456,3.661,7.322,14.627,28.767,60.786,112.784,203.741,340.09,471.863,611.329
457,3.662,7.323,14.63,28.776,60.811,112.847,203.912,340.49,472.602,612.439
458,3.662,7.325,14.633,28.784,60.836,112.908,204.082,340.888,473.34,613.549
459,3.663,7.326,14.636,28.793,60.861,112.97,204.251,341.285,474.077,614.658
460,3.664,7.327,14.639,28.801,60.886,113.031,204.42,341.682,474.813,615.766
461,3.664,7.329,14.642,28.81,60.911,113.092,204.589,342.077,475.547,616.873
462,3.665,7.33,14.644,28.818,60.935,113.153,204.756,342.471,476.281,617.979
463,3.666,7.332,14.647,28.826,60.959,113.213,204.924,342.865,477.014,619.084
464,3.667,7.333,14.65,28.834,60.984,113.273,205.09,343.257,477.745,620.188
465,3.667,7.334,14.653,28.843,61.008,113.332,205.256,343.648,478.476,621.292
466,3.668,7.336,14.656,28.851,61.032,113.392,205.421,344.039,479.206,622.394
467,3.669,7.337,14.659,28.859,61.055,113.451,205.586,344.428,479.934,623.496
468,3.669,7.338,14.661,28.867,61.079,113.51,205.75,344.817,480.662,624.596
469,3.67,7.34,14.664,28.875,61.102,113.568,205.913,345.204,481.388,625.696
470,3.671,7.341,14.667,28.882,61.126,113.626,206.076,345.591,482.114,626.795
471,3.671,7.342,14.669,28.89,61.149,113.684,206.238,345.976,482.838,627.893
472,3.672,7.344,14.672,28.898,61.172,113.742,206.4,346.361,483.562,628.991
473,3.672,7.345,14.675,28.906,61.195,113.799,206.561,346.744,484.284,630.087
474,3.673,7.346,14.677,28.913,61.217,113.856,206.721,347.127,485.006,631.183
475,3.674,7.347,14.68,28.921,61.24,113.913,206.881,347.509,485.726,632.277
476,3.674,7.349,14.683,28.928,61.263,113.969,207.04,347.889,486.446,633.371
477,3.675,7.35,14.685,28.936,61.285,114.025,207.199,348.269,487.164,634.464
478,3.676,7.351,14.688,28.943,61.307,114.081,207.357,348.648,487.882,635.556
479,3.676,7.352,14.69,28.951,61.329,114.136,207.515,349.026,488.598,636.647
480,3.677,7.354,14.693,28.958,61.351,114.192,207.671,349.403,489.314,637.737
481,3.677,7.355,14.695,28.965,61.373,114.247,207.828,349.779,490.028,638.827
482,3.678,7.356,14.698,28.972,61.395,114.301,207.984,350.154,490.742,639.915
483,3.679,7.357,14.7,28.98,61.416,114.356,208.139,350.528,491.454,641.003
484,3.679,7.358,14.703,28.987,61.438,114.41,208.293,350.901,492.166,642.089
485,3.68,7.359,14.705,28.994,61.459,114.464,208.447,351.274,492.876,643.175
486,3.68,7.361,14.707,29.001,61.48,114.517,208.601,351.645,493.586,644.26
487,3.681,7.362,14.71,29.008,61.501,114.571,208.754,352.015,494.294,645.344
488,3.681,7.363,14.712,29.015,61.522,114.624,208.906,352.385,495.002,646.428
489,3.682,7.364,14.714,29.022,61.543,114.677,209.058,352.753,495.708,647.51
490,3.683,7.365,14.717,29.028,61.564,114.729,209.209,353.121,496.414,648.592
491,3.683,7.366,14.719,29.035,61.584,114.781,209.36,353.488,497.118,649.672
492,3.684,7.367,14.721,29.042,61.605,114.833,209.51,353.854,497.822,650.752
493,3.684,7.368,14.723,29.049,61.625,114.885,209.659,354.219,498.524,651.831
494,3.685,7.369,14.726,29.055,61.645,114.937,209.808,354.583,499.226,652.909
495,3.685,7.371,14.728,29.062,61.665,114.988,209.957,354.946,499.926,653.987
496,3.686,7.372,14.73,29.068,61.685,115.039,210.105,355.308,500.626,655.063
497,3.686,7.373,14.732,29.075,61.705,115.089,210.252,355.669,501.325,656.139
498,3.687,7.374,14.734,29.081,61.725,115.14,210.399,356.03,502.022,657.213
499,3.687,7.375,14.737,29.088,61.744,115.19,210.545,356.389,502.719,658.287
500,3.688,7.376,14.739,29.094,61.764,115.24,210.691,356.748,503.415,659.36
501,3.688,7.377,14.741,29.1,61.783,115.289,210.836,357.105,504.109,660.432
502,3.689,7.378,14.743,29.107,61.802,115.339,210.981,357.462,504.803,661.503
503,3.689,7.379,14.745,29.113,61.822,115.388,211.125,357.818,505.496,662.574
504,3.69,7.38,14.747,29.119,61.841,115.437,211.268,358.173,506.188,663.643
505,3.69,7.381,14.749,29.125,61.859,115.486,211.411,358.527,506.879,664.712
506,3.691,7.382,14.751,29.131,61.878,115.534,211.554,358.88,507.569,665.78
507,3.691,7.383,14.753,29.137,61.897,115.582,211.696,359.233,508.257,666.847
508,3.692,7.384,14.755,29.143,61.916,115.63,211.837,359.584,508.945,667.913
509,3.692,7.385,14.757,29.149,61.934,115.678,211.978,359.935,509.632,668.978
510,3.693,7.385,14.759,29.155,61.952,115.725,212.119,360.285,510.318,670.042
511,3.693,7.386,14.761,29.161,61.971,115.772,212.258,360.633,511.004,671.106
512,3.694,7.387,14.763,29.167,61.989,115.819,212.398,360.981,511.688,672.168
513,3.694,7.388,14.765,29.173,62.007,115.866,212.537,361.328,512.371,673.23
514,3.695,7.389,14.767,29.179,62.025,115.912,212.675,361.675,513.053,674.291
515,3.695,7.39,14.769,29.184,62.042,115.959,212.813,362.02,513.734,675.351
516,3.695,7.391,14.77,29.19,62.06,116.005,212.95,362.365,514.415,676.411
517,3.696,7.392,14.772,29.196,62.078,116.05,213.087,362.708,515.094,677.469
518,3.696,7.393,14.774,29.201,62.095,116.096,213.223,363.051,515.772,678.527
519,3.697,7.394,14.776,29.207,62.113,116.141,213.359,363.393,516.45,679.584
520,3.697,7.395,14.778,29.212,62.13,116.186,213.495,363.734,517.126,680.639
521,3.698,7.395,14.78,29.218,62.147,116.231,213.629,364.074,517.802,681.695
522,3.698,7.396,14.781,29.223,62.164,116.276,213.764,364.414,518.476,682.749
523,3.699,7.397,14.783,29.229,62.181,116.32,213.898,364.752,519.15,683.802
524,3.699,7.398,14.785,29.234,62.198,116.364,214.031,365.09,519.823,684.855
525,3.699,7.399,14.787,29.24,62.215,116.408,214.164,365.427,520.495,685.906
526,3.7,7.4,14.788,29.245,62.231,116.452,214.296,365.763,521.165,686.957
527,3.7,7.4,14.79,29.25,62.248,116.495,214.428,366.098,521.835,688.007
528,3.701,7.401,14.792,29.255,62.264,116.539,214.559,366.432,522.504,689.056
529,3.701,7.402,14.793,29.261,62.281,116.582,214.69,366.766,523.172,690.105
530,3.701,7.403,14.795,29.266,62.297,116.624,214.821,367.099,523.839,691.152
531,3.702,7.404,14.797,29.271,62.313,116.667,214.951,367.43,524.506,692.199
532,3.702,7.404,14.798,29.276,62.329,116.709,215.08,367.761,525.171,693.245
533,3.703,7.405,14.8,29.281,62.345,116.752,215.209,368.092,525.835,694.29
534,3.703,7.406,14.802,29.286,62.361,116.794,215.337,368.421,526.498,695.334
535,3.703,7.407,14.803,29.291,62.377,116.835,215.465,368.749,527.161,696.377
536,3.704,7.407,14.805,29.296,62.393,116.877,215.593,369.077,527.822,697.42
537,3.704,7.408,14.806,29.301,62.408,116.918,215.72,369.404,528.483,698.461
538,3.704,7.409,14.808,29.306,62.424,116.959,215.847,369.73,529.143,699.502
539,3.705,7.41,14.809,29.311,62.439,117,215.973,370.055,529.801,700.542
540,3.705,7.41,14.811,29.315,62.454,117.041,216.098,370.38,530.459,701.581
541,3.706,7.411,14.813,29.32,62.47,117.081,216.224,370.704,531.116,702.62
542,3.706,7.412,14.814,29.325,62.485,117.122,216.348,371.026,531.772,703.657
543,3.706,7.413,14.816,29.33,62.5,117.162,216.473,371.348,532.427,704.694
544,3.707,7.413,14.817,29.334,62.515,117.202,216.596,371.67,533.081,705.73
545,3.707,7.414,14.818,29.339,62.53,117.241,216.72,371.99,533.734,706.765
546,3.707,7.415,14.82,29.343,62.544,117.281,216.843,372.31,534.387,707.799
547,3.708,7.415,14.821,29.348,62.559,117.32,216.965,372.628,535.038,708.832
548,3.708,7.416,14.823,29.353,62.574,117.359,217.087,372.947,535.689,709.865
549,3.708,7.417,14.824,29.357,62.588,117.398,217.209,373.264,536.338,710.896
550,3.709,7.418,14.826,29.362,62.603,117.437,217.33,373.58,536.987,711.927
551,3.709,7.418,14.827,29.366,62.617,117.475,217.451,373.896,537.635,712.957
552,3.709,7.419,14.828,29.37,62.631,117.513,217.571,374.211,538.282,713.986
553,3.71,7.42,14.83,29.375,62.645,117.551,217.691,374.525,538.928,715.015
554,3.71,7.42,14.831,29.379,62.659,117.589,217.81,374.838,539.573,716.042
555,3.71,7.421,14.833,29.384,62.673,117.627,217.929,375.151,540.217,717.069
556,3.711,7.421,14.834,29.388,62.687,117.665,218.047,375.462,540.86,718.095
557,3.711,7.422,14.835,29.392,62.701,117.702,218.165,375.773,541.502,719.12
558,3.711,7.423,14.837,29.396,62.715,117.739,218.283,376.083,542.144,720.145
559,3.712,7.423,14.838,29.401,62.729,117.776,218.4,376.393,542.784,721.168
560,3.712,7.424,14.839,29.405,62.742,117.813,218.517,376.702,543.424,722.191
561,3.712,7.425,14.841,29.409,62.756,117.849,218.633,377.009,544.063,723.212
562,3.713,7.425,14.842,29.413,62.769,117.886,218.749,377.316,544.701,724.233
563,3.713,7.426,14.843,29.417,62.782,117.922,218.864,377.623,545.338,725.254
564,3.713,7.426,14.844,29.421,62.796,117.958,218.979,377.928,545.974,726.273
565,3.714,7.427,14.846,29.425,62.809,117.994,219.094,378.233,546.609,727.292
566,3.714,7.428,14.847,29.429,62.822,118.029,219.208,378.537,547.243,728.309
567,3.714,7.428,14.848,29.433,62.835,118.065,219.322,378.84,547.877,729.326
568,3.714,7.429,14.849,29.437,62.848,118.1,219.435,379.143,548.509,730.342
569,3.715,7.429,14.851,29.441,62.861,118.135,219.548,379.445,549.141,731.358
570,3.715,7.43,14.852,29.445,62.874,118.17,219.66,379.746,549.771,732.372
571,3.715,7.431,14.853,29.449,62.886,118.205,219.772,380.046,550.401,733.386
572,3.716,7.431,14.854,29.453,62.899,118.239,219.884,380.346,551.03,734.399
573,3.716,7.432,14.855,29.457,62.912,118.274,219.995,380.644,551.658,735.411
574,3.716,7.432,14.856,29.46,62.924,118.308,220.106,380.942,552.286,736.422
575,3.716,7.433,14.858,29.464,62.937,118.342,220.216,381.24,552.912,737.433
576,3.717,7.433,14.859,29.468,62.949,118.376,220.326,381.536,553.538,738.442
577,3.717,7.434,14.86,29.472,62.961,118.41,220.436,381.832,554.162,739.451
578,3.717,7.434,14.861,29.475,62.973,118.443,220.545,382.127,554.786,740.459
579,3.717,7.435,14.862,29.479,62.985,118.476,220.654,382.421,555.409,741.466
580,3.718,7.436,14.863,29.483,62.998,118.51,220.762,382.715,556.031,742.473
581,3.718,7.436,14.864,29.486,63.009,118.543,220.87,383.008,556.652,743.479
582,3.718,7.437,14.865,29.49,63.021,118.576,220.978,383.3,557.272,744.483
583,3.719,7.437,14.867,29.493,63.033,118.608,221.085,383.591,557.892,745.487
584,3.719,7.438,14.868,29.497,63.045,118.641,221.192,383.882,558.51,746.491
585,3.719,7.438,14.869,29.5,63.057,118.673,221.298,384.172,559.128,747.493
586,3.719,7.439,14.87,29.504,63.068,118.705,221.404,384.461,559.744,748.495
587,3.72,7.439,14.871,29.507,63.08,118.737,221.51,384.749,560.36,749.495
588,3.72,7.44,14.872,29.511,63.091,118.769,221.615,385.037,560.975,750.495
589,3.72,7.44,14.873,29.514,63.103,118.801,221.72,385.324,561.59,751.495
590,3.72,7.441,14.874,29.518,63.114,118.832,221.824,385.611,562.203,752.493
591,3.721,7.441,14.875,29.521,63.125,118.864,221.928,385.896,562.816,753.491
592,3.721,7.442,14.876,29.524,63.137,118.895,222.032,386.181,563.427,754.487
593,3.721,7.442,14.877,29.528,63.148,118.926,222.135,386.465,564.038,755.483
594,3.721,7.442,14.878,29.531,63.159,118.957,222.238,386.749,564.648,756.479
595,3.721,7.443,14.879,29.534,63.17,118.988,222.341,387.032,565.257,757.473
596,3.722,7.443,14.88,29.537,63.181,119.018,222.443,387.314,565.865,758.467
597,3.722,7.444,14.881,29.541,63.192,119.049,222.545,387.595,566.472,759.459
598,3.722,7.444,14.882,29.544,63.203,119.079,222.646,387.876,567.079,760.452
599,3.722,7.445,14.883,29.547,63.213,119.109,222.747,388.156,567.685,761.443
600,3.723,7.445,14.884,29.55,63.224,119.139,222.848,388.435,568.289,762.433
601,3.723,7.446,14.885,29.553,63.235,119.169,222.948,388.713,568.893,763.423
602,3.723,7.446,14.886,29.556,63.245,119.199,223.048,388.991,569.497,764.412
603,3.723,7.447,14.887,29.559,63.256,119.228,223.147,389.269,570.099,765.4
604,3.724,7.447,14.887,29.563,63.266,119.257,223.247,389.545,570.7,766.387
605,3.724,7.447,14.888,29.566,63.276,119.287,223.345,389.821,571.301,767.374
606,3.724,7.448,14.889,29.569,63.287,119.316,223.444,390.096,571.901,768.359
607,3.724,7.448,14.89,29.572,63.297,119.345,223.542,390.37,572.5,769.344
608,3.724,7.449,14.891,29.575,63.307,119.373,223.64,390.644,573.098,770.328
609,3.725,7.449,14.892,29.578,63.317,119.402,223.737,390.917,573.695,771.312
610,3.725,7.45,14.893,29.581,63.327,119.43,223.834,391.189,574.291,772.294
611,3.725,7.45,14.894,29.583,63.337,119.459,223.931,391.461,574.887,773.276
612,3.725,7.45,14.895,29.586,63.347,119.487,224.027,391.732,575.482,774.257
613,3.725,7.451,14.895,29.589,63.357,119.515,224.123,392.002,576.076,775.237
614,3.726,7.451,14.896,29.592,63.367,119.543,224.218,392.272,576.669,776.217
615,3.726,7.452,14.897,29.595,63.377,119.571,224.314,392.541,577.261,777.195
616,3.726,7.452,14.898,29.598,63.387,119.598,224.408,392.809,577.852,778.173
617,3.726,7.452,14.899,29.601,63.396,119.626,224.503,393.077,578.443,779.15
618,3.726,7.453,14.9,29.603,63.406,119.653,224.597,393.344,579.033,780.126
619,3.727,7.453,14.9,29.606,63.415,119.68,224.691,393.61,579.622,781.102
620,3.727,7.454,14.901,29.609,63.425,119.707,224.784,393.876,580.21,782.077
621,3.727,7.454,14.902,29.612,63.434,119.734,224.878,394.141,580.797,783.051
622,3.727,7.454,14.903,29.614,63.444,119.761,224.97,394.405,581.383,784.024
623,3.727,7.455,14.904,29.617,63.453,119.788,225.063,394.669,581.969,784.996
624,3.728,7.455,14.904,29.62,63.462,119.814,225.155,394.932,582.554,785.968
625,3.728,7.455,14.905,29.622,63.471,119.841,225.247,395.194,583.138,786.939
626,3.728,7.456,14.906,29.625,63.48,119.867,225.338,395.456,583.721,787.909
627,3.728,7.456,14.907,29.628,63.49,119.893,225.429,395.717,584.304,788.878
628,3.728,7.456,14.907,29.63,63.499,119.919,225.52,395.977,584.885,789.847
629,3.728,7.457,14.908,29.633,63.508,119.945,225.61,396.237,585.466,790.814
630,3.729,7.457,14.909,29.635,63.517,119.971,225.7,396.496,586.046,791.781
631,3.729,7.458,14.91,29.638,63.525,119.996,225.79,396.755,586.625,792.747
632,3.729,7.458,14.91,29.64,63.534,120.022,225.88,397.012,587.203,793.713
633,3.729,7.458,14.911,29.643,63.543,120.047,225.969,397.27,587.781,794.677
634,3.729,7.459,14.912,29.645,63.552,120.072,226.057,397.526,588.357,795.641
635,3.729,7.459,14.912,29.648,63.56,120.097,226.146,397.782,588.933,796.604
636,3.73,7.459,14.913,29.65,63.569,120.122,226.234,398.037,589.508,797.567
637,3.73,7.46,14.914,29.653,63.578,120.147,226.322,398.292,590.083,798.528
638,3.73,7.46,14.915,29.655,63.586,120.172,226.409,398.546,590.656,799.489
639,3.73,7.46,14.915,29.658,63.595,120.196,226.496,398.799,591.229,800.449
640,3.73,7.461,14.916,29.66,63.603,120.221,226.583,399.052,591.801,801.408
641,3.73,7.461,14.917,29.662,63.611,120.245,226.67,399.304,592.372,802.367
642,3.731,7.461,14.917,29.665,63.62,120.269,226.756,399.555,592.942,803.325
643,3.731,7.462,14.918,29.667,63.628,120.293,226.842,399.806,593.512,804.282
644,3.731,7.462,14.919,29.669,63.636,120.317,226.927,400.056,594.08,805.238
645,3.731,7.462,14.919,29.672,63.644,120.341,227.012,400.306,594.648,806.193
646,3.731,7.462,14.92,29.674,63.652,120.365,227.097,400.555,595.215,807.148
647,3.731,7.463,14.921,29.676,63.66,120.388,227.182,400.803,595.782,808.102
648,3.732,7.463,14.921,29.679,63.668,120.412,227.266,401.051,596.347,809.055
649,3.732,7.463,14.922,29.681,63.676,120.435,227.35,401.298,596.912,810.007
650,3.732,7.464,14.922,29.683,63.684,120.458,227.434,401.544,597.476,810.959
651,3.732,7.464,14.923,29.685,63.692,120.481,227.517,401.79,598.039,811.91
652,3.732,7.464,14.924,29.687,63.7,120.504,227.6,402.035,598.601,812.86
653,3.732,7.465,14.924,29.69,63.708,120.527,227.683,402.28,599.163,813.809
654,3.732,7.465,14.925,29.692,63.715,120.55,227.765,402.524,599.724,814.758
655,3.733,7.465,14.926,29.694,63.723,120.573,227.847,402.767,600.284,815.706
